debt_id,symptom_status_id,symptom_name,sources
D_ACCESS_LOG_VOLUME,F1_OVERFLOW,Переполнение,card:S_ACCESS_LOGS | card:S_LIB_LOGS | card:S_NET_JOURNAL
D_AUDIT_NEEDED,F8_AUDIT_GAP,Дыра аудита,level:L1_LIBRARY_ORBS:default | level:L2_GATEWAY_PASS:default | level:L5_KIRA_API:default
D_BACKFILL_UNVERIFIED,F11_HOTSPOT,Горячий шард,card:S_SCHEMA_GUARD
D_CACHE_GROWTH,F1_OVERFLOW,Переполнение,level:L2_KESHA_CACHE:default
D_COLD_SHARD,F7_CONFUSION,Путаница,card:S_SHARD_FENCE
D_DNS_EXPOSED,F3_COMPROMISE,Компрометация,card:S_DNS
D_FAILOVER_LOOP,F15_FAILOVER_LOOP,Петля failover,level:L7_EDWARD_MULTIDC:default
D_HIDDEN_NODES,F5_FRAGILITY,Хрупкость,level:L4_ANASTASIA_GOLDEN:default
D_HOT_PARTITION,F11_HOTSPOT,Горячий шард,card:S_REBALANCER
D_INDEX_GROWTH,F1_OVERFLOW,Переполнение,card:S_INDEX | level:L1_LIBRARY_ORBS:default
D_LOG_NOISE,F7_CONFUSION,Путаница,card:S_BROAD_LOGGING
D_LOG_VOLUME,F1_OVERFLOW,Переполнение,card:S_LOGGING | card:S_WRITE_AHEAD_LOG
D_MIRROR_QUOTA_GAP,F1_OVERFLOW,Переполнение,card:S_CAPACITY_MIRROR
D_NEEDS_HEALTHCHECK,F5_FRAGILITY,Хрупкость,card:S_DISCOVERY
D_NEEDS_MIGRATION,F5_FRAGILITY,Хрупкость,card:S_SCHEMA_GUARD
D_NEEDS_ROLLBACK,F5_FRAGILITY,Хрупкость,card:S_API_CICD | card:S_CICD
D_NO_CICD,F6_NONDELIVERY,Недоставка,level:L5_KIRA_API:default | level:L7_EDWARD_MULTIDC:default
D_NO_OBSERVABILITY,F4_BLINDNESS,Слепота,level:L1_MILLER_BARN:default | level:L4_ANASTASIA_GOLDEN:default | level:L6_MARK_SHARDING:default
D_NO_REVIEW_GATES,F9_UNREVIEWED_RELEASE,Непроверенный релиз,card:S_API_CICD
D_OPEN_ACCESS,F3_COMPROMISE,Компрометация,card:S_GATEWAY_SEAL | level:L2_KESHA_CACHE:default | level:L5_KIRA_API:default
D_PARTNER_CONTRACT_DRIFT,F10_CONTRACT_DRIFT,Разъезд контрактов,card:S_API_MR_GATES
D_REBALANCE_WINDOW,F5_FRAGILITY,Хрупкость,card:S_REBALANCER
D_REPLICATION_LAG,F5_FRAGILITY,Хрупкость,card:S_REPLICATION_MANAGER
D_RESERVE_CAPACITY_GAP,F16_CAPACITY_GAP,Провал резерва,level:L7_EDWARD_MULTIDC:default
D_ROUTING_AMBIGUITY,F7_CONFUSION,Путаница,level:L3_GENNADY_LIGHTHOUSE:default | level:L6_MARK_SHARDING:default
D_SCHEMA_DRIFT,F12_SPLIT_BRAIN,Раскол кворума,level:L6_MARK_SHARDING:default
D_SHARD_IMBALANCE,F1_OVERFLOW,Переполнение,card:S_SHARD_KEY
D_SIGN_UNCLEAR,F4_BLINDNESS,Слепота,level:L3_GENNADY_LIGHTHOUSE:default
D_SPLIT_BRAIN,F12_SPLIT_BRAIN,Раскол кворума,card:S_REPLICATION_MANAGER
D_SPLIT_OVERLOAD,F5_FRAGILITY,Хрупкость,card:S_TRAFFIC_SPLIT
D_TRANSPORT_EXPOSED,F3_COMPROMISE,Компрометация,level:L4_ANASTASIA_GOLDEN:default
D_UNTESTED_FAILOVER,F5_FRAGILITY,Хрупкость,card:S_GLOBAL_HEALTHCHECK
